1.194199e+02+-6.401239e-03	3.256754e+01+-1.020276e-01
1.508490e+02+-1.211849e-01	3.259197e+01+-5.018786e-02
1.917583e+02+-8.427301e-02	3.252428e+01+-5.088239e-02
1.195635e+02+-4.993537e-03	3.681910e+01+-3.812942e-02
2.268044e-01+-4.279435e-04	      0+-      0
1.069938e-01+-6.970557e-05	      0+-      0
1.199246e+02+-5.734284e-03	3.679097e+01+-1.278576e-01
2.204649e-01+-3.138204e-04	      0+-      0
4.638935e-01+-5.162405e-04	      0+-      0
1.197365e+02+-6.665292e-03	3.678705e+01+-1.180600e-01
1.059594e-01+-1.120557e-04	      0+-      0
3.604860e-01+-4.985425e-04	      0+-      0
para 20
avgDelaysPerFlow(flow),confidenceDelaysPerFlow(flow),avgPktLossPerFlow(flow),confidencePktLossPerFlow(flow))
2.85e+00+-2.763849e-02	      0+-      0
3.79e+00+-3.151682e-02	      0+-      0
4.71e+00+-4.135707e-02	      0+-      0
2.87e+01+-7.645134e-01	3.05e-01+-3.944575e-02
2.48e-01+-4.856031e-04	      0+-      0
1.12e-01+-8.718868e-05	      0+-      0
2.90e+01+-7.711753e-01	3.12e-01+-4.324624e-02
2.20e-01+-5.369295e-04	      0+-      0
4.59e-01+-8.767980e-04	      0+-      0
2.88e+01+-7.718621e-01	3.081418e-01+-4.512707e-02
1.05e-01+-6.650233e-05	      0+-      0
3.79e-01+-5.202892e-04	      0+-      0
